Round,Changes,Sum of Changes
1 to 2,90,148
2 to 3,86,160
3 to 4,95,172
4 to 5,98,176
5 to 6,96,154
6 to 7,92,148
7 to 8,80,134
8 to 9,93,154
9 to 10,86,144
10 to 11,91,152
11 to 12,94,154
12 to 13,91,156
13 to 14,81,140
14 to 15,96,152
15 to 16,91,152
16 to 17,90,152
17 to 18,96,156
18 to 19,91,162
19 to 20,90,148
20 to 21,86,130
21 to 22,78,134
22 to 23,89,144
23 to 24,94,150
24 to 25,81,146
25 to 26,86,138
26 to 27,84,146
27 to 28,92,152
28 to 29,95,168
29 to 30,90,148
Total,2602,4370
