Round,Changes,Sum of Changes
1 to 2,98,164
2 to 3,102,184
3 to 4,97,178
4 to 5,91,152
5 to 6,86,160
6 to 7,87,142
7 to 8,93,166
8 to 9,94,158
9 to 10,91,150
10 to 11,92,158
11 to 12,95,160
12 to 13,98,160
13 to 14,98,174
14 to 15,90,148
15 to 16,88,150
16 to 17,87,152
17 to 18,97,168
18 to 19,85,138
19 to 20,97,170
20 to 21,86,150
21 to 22,103,184
22 to 23,98,164
23 to 24,100,160
24 to 25,86,132
25 to 26,91,138
26 to 27,90,148
27 to 28,91,150
28 to 29,88,146
29 to 30,90,152
Total,2689,4556
